Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
André Onana,Ajax,Goalkeeper,16,437,6,0.94,0,2.63,2.8,100,56,77,33,0,0,108.6,
Kostas Lamprou,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Benjamin van Leer,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Norbert Alblas,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Kenneth Vermeer,Feyenoord,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Justin Bijlow,Feyenoord,Goalkeeper,1,14,0,1.0,0,1.0,1.0,100,0,77,37,0,0,22.0,
Brad Jones,Feyenoord,Goalkeeper,14,163,6,1.0,0,1.79,1.79,93,29,68,39,0,0,87.8,
Ramon ten Hove,Feyenoord,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Roman Weidenfeller,Borussia Dortmund,Goalkeeper,1,83,0,4.0,0,2.0,0.5,100,0,46,40,0,0,42.0,
Dominik Reimann,Borussia Dortmund,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Roman Bürki,Borussia Dortmund,Goalkeeper,14,71,6,1.29,0,1.79,1.39,93,7,75,34,2,0,85.8,
Manuel Neuer,FC Bayern München,Goalkeeper,3,70,2,0.67,0,1.67,2.5,100,0,86,31,0,0,47.4,
Tom Starke,FC Bayern München,Goalkeeper,2,74,2,0.0,0,1.5,3.0,100,0,68,32,0,0,42.0,
Sven Ulreich,FC Bayern München,Goalkeeper,11,51,5,0.82,0,1.55,1.89,91,9,78,32,1,0,72.0,
Christian Früchtl,FC Bayern München,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Miguel Ángel Moyá,Atlético de Madrid,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Jan Oblak,Atlético de Madrid,Goalkeeper,15,342,9,0.47,0,2.73,5.86,93,13,55,44,0,0,120.6,
Axel Werner,Atlético de Madrid,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Sergio Rico,Sevilla,Goalkeeper,11,10,5,1.36,0,1.82,1.33,91,36,67,38,0,0,78.4,
David Soria,Sevilla,Goalkeeper,6,87,2,0.67,0,2.33,3.5,100,67,67,33,1,0,65.6,
Juan Soriano,Sevilla,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Kevin Trapp,Paris Saint-Germain,Goalkeeper,1,94,1,0.0,0,3.0,3.0,100,0,94,21,0,0,66.0,
Alphonse Areola,Paris Saint-Germain,Goalkeeper,16,303,7,0.81,0,1.13,1.5,88,13,93,24,0,0,82.6,
Remy Descamps,Paris Saint-Germain,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Álvaro Fernández,Monaco,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Danijel Subasic,Monaco,Goalkeeper,15,54,4,1.2,0,2.2,1.83,92,20,70,38,1,0,89.0,
