Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Joël Veltman,Ajax,Defender,16,534,1,31,0,15,87,19,52,6,0,5,0,125.21666666666667,
Matthijs de Ligt,Ajax,Defender,16,484,2,27,0,5,91,19,50,7,1,4,0,120.58333333333334,
Maximilian Wöber,Ajax,Defender,11,311,1,29,0,1,86,19,66,4,0,1,0,88.65,
Davinson Sánchez,Tottenham Hotspur,Defender,12,231,0,20,0,0,90,21,51,6,0,0,1,79.8,
Daley Sinkgraven,Ajax,Defender,4,61,0,0,0,2,88,18,50,1,0,0,0,26.833333333333336,
Nick Viergever,Ajax,Defender,12,369,2,75,0,13,87,18,38,6,0,2,0,98.65,
Mitchell Dijks,Ajax,Defender,7,140,0,25,0,5,84,16,68,3,0,0,0,60.983333333333334,
Damil Dankerlui,Ajax,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Donny van de Beek,Ajax,Midfielder,16,403,6,48,0,19,82,16,50,3,0,3,0,148.8,
Hakim Ziyech,Ajax,Midfielder,16,688,4,39,0,69,75,21,50,2,0,1,0,182.0,
Robert Muric,Sporting Braga,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Lasse Schöne,Ajax,Midfielder,13,446,7,71,0,16,86,17,48,2,0,5,0,127.55000000000001,
Frenkie de Jong,Ajax,Midfielder,13,510,0,33,0,18,92,16,72,2,0,1,0,108.3,
Siem de Jong,Ajax,Midfielder,9,90,3,56,0,1,71,15,31,0,0,0,0,56.95,
Klaas-Jan Huntelaar,Ajax,Forward,12,345,5,67,0,13,72,12,45,1,0,2,0,99.95,
Amin Younes,Ajax,Forward,9,317,1,56,0,16,80,15,56,1,0,0,0,72.6,
Vaclav Cerny,Ajax,Forward,4,87,0,67,0,9,88,15,44,0,0,0,0,34.75,
Mateo Cassierra,Ajax,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Kasper Dolberg,Ajax,Forward,16,124,4,51,0,13,76,12,44,0,0,0,0,115.05,
Bart Nieuwkoop,Feyenoord,Defender,5,140,0,40,0,7,82,15,59,5,0,1,0,52.41666666666667,
Sven van Beek,Feyenoord,Defender,5,157,0,100,0,3,85,21,41,5,0,0,0,42.416666666666664,
Jeremiah St. Juste,Feyenoord,Defender,9,174,0,29,0,3,89,20,53,5,0,0,0,68.55,
Ridgeciano Haps,Feyenoord,Defender,11,209,0,33,0,5,85,19,66,4,0,2,0,86.65,
Jan-Arie van der Hei..,Feyenoord,Defender,6,133,0,33,0,0,86,23,56,6,0,3,0,49.4,
Kevin Diks,Feyenoord,Defender,9,166,0,29,0,6,85,20,47,5,0,0,0,68.7,
Miquel Nelom,Feyenoord,Defender,6,92,0,100,0,2,87,22,52,3,0,0,0,44.3,
Eric Botteghin,Feyenoord,Defender,5,165,0,25,0,5,87,22,57,6,0,0,0,53.25,
Tyrell Malacia,Feyenoord,Defender,1,1,0,0,0,0,82,18,80,1,0,0,0,10.333333333333332,
Karim El Ahmadi,Feyenoord,Midfielder,15,305,1,47,0,15,88,16,43,2,0,0,0,111.125,
Tonny Vilhena,Feyenoord,Midfielder,15,196,3,48,0,21,81,16,43,2,1,2,0,122.5,
Renato Tapia,Feyenoord,Midfielder,6,199,0,50,0,0,85,23,49,10,0,0,0,92.1,
Sofyan Amrabat,Feyenoord,Midfielder,11,4,0,40,0,9,83,19,54,1,1,2,0,72.675,
Jens Toornstra,Feyenoord,Midfielder,14,102,3,38,0,20,82,17,21,1,0,2,0,103.05,
Emil Hansson,Feyenoord,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jordy Wehrmann,Feyenoord,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Jean-Paul Boëtius,Feyenoord,Forward,15,222,3,53,0,15,78,18,57,0,0,0,0,109.875,
Nicolai Jørgensen,Feyenoord,Forward,12,278,5,71,0,19,77,14,52,1,0,2,0,110.15,
Sam Larsson,Feyenoord,Forward,11,350,2,52,0,27,75,15,54,2,0,0,0,98.675,
Bilal Basacikoglu,Feyenoord,Forward,4,7,0,33,0,3,85,20,50,0,0,0,0,23.55,
Steven Berghuis,Feyenoord,Forward,14,504,8,44,0,29,76,20,50,1,0,3,1,132.25,
Michiel Kramer,Feyenoord,Forward,8,2,0,40,0,5,65,14,41,0,0,0,0,43.25,
Dylan Vente,Feyenoord,Forward,2,22,0,0,0,1,82,12,0,0,0,0,0,9.35,
Cheick Toure,Feyenoord,Forward,1,6,0,0,0,1,82,12,0,0,0,0,0,5.3,
Dan-Axel Zagadou,Borussia Dortmund,Defender,11,150,1,14,0,2,82,18,55,3,1,0,1,76.83333333333334,
Joo-Ho Park,Borussia Dortmund,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Neven Subotic,Borussia Dortmund,Defender,2,9,0,0,0,0,83,22,59,9,0,0,0,38.86666666666667,
Marc Bartra,Borussia Dortmund,Defender,12,280,2,60,0,4,80,20,57,7,1,1,0,106.6,
Raphael Guerreiro,Borussia Dortmund,Defender,5,63,1,75,0,2,86,18,48,2,0,0,0,40.5,
Jeremy Toljan,Borussia Dortmund,Defender,7,14,0,0,0,5,83,16,55,4,0,1,0,56.91666666666667,
Jan-Niklas Beste,Borussia Dortmund,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Sokratis,Borussia Dortmund,Defender,14,425,2,60,0,4,87,22,58,5,0,2,1,109.13333333333333,
Lukasz Piszczek,Borussia Dortmund,Defender,7,237,0,17,0,6,85,18,52,4,0,0,0,57.766666666666666,
Marcel Schmelzer,Borussia Dortmund,Defender,7,95,0,0,0,8,84,16,53,5,0,1,0,62.733333333333334,
Ömer Toprak,Borussia Dortmund,Defender,10,296,0,25,0,4,91,21,54,5,1,1,0,75.0,
Erik Durm,Borussia Dortmund,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Nuri Sahin,Borussia Dortmund,Midfielder,11,269,2,55,0,14,84,18,47,3,0,1,0,99.025,
